FFPC ID,Player,Position,ADP,Times Drafted,Date
10025,Julio Jones,WR,193.57,60,2022-07-18
T0742,Rob Gronkowski,TE,320.16,15,2022-07-18
14038,Mike Evans,WR,20.02,60,2022-07-17
26943,Chris Godwin,WR,71.62,60,2022-07-17
27341,Russell Gage,WR,73.4,60,2022-07-17
5228,Tom Brady,QB,80.65,60,2022-07-17
24443,Cameron Brate,TE,166.63,60,2022-07-17
10025,Julio Jones,WR,192.68,59,2022-07-17
T0742,Rob Gronkowski,TE,317.17,16,2022-07-17
14038,Mike Evans,WR,20.04,57,2022-07-16
26943,Chris Godwin,WR,72.11,57,2022-07-16
27341,Russell Gage,WR,73.28,57,2022-07-16
5228,Tom Brady,QB,80.51,57,2022-07-16
24443,Cameron Brate,TE,165.42,57,2022-07-16
10025,Julio Jones,WR,193.47,56,2022-07-16
T0742,Rob Gronkowski,TE,301.14,22,2022-07-16
14038,Mike Evans,WR,20.1,58,2022-07-15
26943,Chris Godwin,WR,71.26,58,2022-07-15
27341,Russell Gage,WR,73.33,58,2022-07-15
5228,Tom Brady,QB,79.79,58,2022-07-15
24443,Cameron Brate,TE,163.55,58,2022-07-15
10025,Julio Jones,WR,193.12,57,2022-07-15
T0742,Rob Gronkowski,TE,289.22,28,2022-07-15
14038,Mike Evans,WR,20.11,63,2022-07-14
26943,Chris Godwin,WR,70.29,63,2022-07-14
27341,Russell Gage,WR,73.54,63,2022-07-14
5228,Tom Brady,QB,80.1,63,2022-07-14
24443,Cameron Brate,TE,164.02,63,2022-07-14
10025,Julio Jones,WR,195.83,62,2022-07-14
T0742,Rob Gronkowski,TE,281.48,34,2022-07-14
14038,Mike Evans,WR,20.35,63,2022-07-13
26943,Chris Godwin,WR,70.44,63,2022-07-13
27341,Russell Gage,WR,74.05,63,2022-07-13
5228,Tom Brady,QB,79.75,63,2022-07-13
24443,Cameron Brate,TE,164.33,63,2022-07-13
10025,Julio Jones,WR,204.16,59,2022-07-13
T0742,Rob Gronkowski,TE,279.51,35,2022-07-13
14038,Mike Evans,WR,20.22,63,2022-07-12
26943,Chris Godwin,WR,69.98,63,2022-07-12
27341,Russell Gage,WR,74.83,63,2022-07-12
5228,Tom Brady,QB,80.35,63,2022-07-12
24443,Cameron Brate,TE,165.71,63,2022-07-12
10025,Julio Jones,WR,203.22,59,2022-07-12
T0742,Rob Gronkowski,TE,270.54,39,2022-07-12
14038,Mike Evans,WR,20.11,64,2022-07-11
26943,Chris Godwin,WR,69.19,64,2022-07-11
27341,Russell Gage,WR,75.69,64,2022-07-11
5228,Tom Brady,QB,81.13,64,2022-07-11
24443,Cameron Brate,TE,165.3,64,2022-07-11
